|time|     fromM      |            In            |Reset|       toM       |writeM |    addressM    |     PCOut      |RAM32K[2]|
|0   |               2|          0001100100001001|  0  |                0|   0   |               0|               0|       0 |
|0+  |               2|          0001100100001001|  0  |                0|   0   |               0|               0|       0 |
|1   |               2|          0001101101000101|  0  |                0|   0   |               0|               1|       0 |
|1+  |               2|          0001101101000101|  0  |                0|   0   |               0|               1|       0 |
|2   |               2|          1000001000000111|  0  |                0|   0   |               0|               2|       0 |
|2+  |               2|          1000001000000111|  0  |                0|   0   |               0|               2|       0 |
|3   |               2|          0001000000000001|  0  |                0|   0   |               0|               3|       0 |
|3+  |               2|          0001000000000001|  0  |                0|   0   |               0|               3|       0 |
|4   |               3|          1000010000000001|  0  |                0|   0   |               1|               4|       0 |
|4+  |               3|          1000010000000001|  0  |                0|   0   |               1|               4|       0 |
|5   |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|5+  |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|6   |               0|          0011010010000001|  0  |                0|   0   |               3|               6|       0 |
|6+  |               0|          0011010010000001|  0  |                0|   0   |               3|               6|       0 |
|7   |               0|          1001100010000001|  0  |                0|   0   |               9|               7|       0 |
|7+  |               0|          1001100010000001|  0  |                0|   0   |               9|               7|       0 |
|8   |               0|          1011101000000001|  0  |                0|   0   |               5|               8|       0 |
|8+  |               0|          1011101000000001|  0  |                0|   0   |               5|               8|       0 |
|9   |               0|          0000011011001111|  0  |                0|   0   |               2|               5|       0 |
|9+  |               0|          0000011011001111|  0  |                0|   0   |               2|               5|       0 |
|10  |               0|          0011010010000001|  0  |                0|   0   |               2|               6|       0 |
|10+ |               0|          0011010010000001|  0  |                0|   0   |               2|               6|       0 |
|11  |               0|          1001100010000001|  0  |                0|   0   |               9|               7|       0 |
|11+ |               0|          1001100010000001|  0  |                0|   0   |               9|               7|       0 |
|12  |               0|          1011101000000001|  0  |                0|   0   |               5|               8|       0 |
|12+ |               0|          1011101000000001|  0  |                0|   0   |               5|               8|       0 |
|13  |               0|          0000011011001111|  0  |                0|   0   |               4|               5|       0 |
|13+ |               0|          0000011011001111|  0  |                0|   0   |               4|               5|       0 |
|14  |               3|          0011010010000001|  0  |                0|   0   |               1|               6|       0 |
|14+ |               3|          0011010010000001|  0  |                0|   0   |               1|               6|       0 |
|15  |               0|          1001100010000001|  0  |                0|   0   |               9|               7|       0 |
|15+ |               0|          1001100010000001|  0  |                0|   0   |               9|               7|       0 |
|16  |               3|          0001000000000001|  0  |                0|   0   |               1|               9|       0 |
|16+ |               3|          0001000000000001|  0  |                0|   0   |               1|               9|       0 |
|17  |               0|          1010000011000111|  0  |                6|   1   |               2|              10|       0 |
|17+ |               0|          1010000011000111|  0  |                6|   1   |               2|              10|       6 |
|18  |               6|          0000000000000000|  0  |                0|   0   |               2|              11|       6 |
