|time|     fromM      |            In            |Reset|       toM       |writeM |    addressM    |     PCOut      |RAM32K[3]|
|0   |           32767|          0001100100001000|  0  |                0|   0   |               0|               0|       0 |
|0+  |           32767|          0001100100001000|  0  |                0|   0   |               0|               0|       0 |
|1   |           32767|          0001101101001101|  0  |                0|   0   |               0|               1|       0 |
|1+  |           32767|          0001101101001101|  0  |                0|   0   |               0|               1|       0 |
|2   |           32767|          1000001000000001|  0  |                0|   0   |               0|               2|       0 |
|2+  |           32767|          1000001000000001|  0  |                0|   0   |               0|               2|       0 |
|3   |               0|          0001001001000001|  0  |                0|   0   |           32767|               3|       0 |
|3+  |               0|          0001001001000001|  0  |                0|   0   |           32767|               3|       0 |
|4   |           32767|          0001000000000001|  0  |                0|   0   |               0|               4|       0 |
|4+  |           32767|          0001000000000001|  0  |                0|   0   |               0|               4|       0 |
|5   |               3|          1000010000000111|  0  |                0|   0   |               1|               5|       0 |
|5+  |               3|          1000010000000111|  0  |                0|   0   |               1|               5|       0 |
|6   |               3|          0001000000000001|  0  |                0|   0   |               1|               6|       0 |
|6+  |               3|          0001000000000001|  0  |                0|   0   |               1|               6|       0 |
|7   |              -1|          1000011000000111|  0  |                0|   0   |               2|               7|       0 |
|7+  |              -1|          1000011000000111|  0  |                0|   0   |               2|               7|       0 |
|8   |               0|          1010001011000111|  0  |               -1|   1   |          -32768|               8|       0 |
|8+  |               0|          1010001011000111|  0  |               -1|   1   |          -32768|               8|       0 |
|9   |               0|          0011010010000001|  0  |                0|   0   |               3|               9|       0 |
|9+  |               0|          0011010010000001|  0  |                0|   0   |               3|               9|       0 |
|10  |              -1|          0001001001100000|  0  |                0|   0   |          -32768|              10|       0 |
|10+ |              -1|          0001001001100000|  0  |                0|   0   |          -32768|              10|       0 |
|11  |               0|          1001101010000001|  0  |                0|   0   |              13|              11|       0 |
|11+ |               0|          1001101010000001|  0  |                0|   0   |              13|              11|       0 |
|12  |               0|          1011100000000001|  0  |                0|   0   |               8|              12|       0 |
|12+ |               0|          1011100000000001|  0  |                0|   0   |               8|              12|       0 |
|13  |               0|          1010001011000111|  0  |               -1|   1   |          -32736|               8|       0 |
|13+ |               0|          1010001011000111|  0  |               -1|   1   |          -32736|               8|       0 |
|14  |              -1|          0011010010000001|  0  |                0|   0   |               2|               9|       0 |
|14+ |              -1|          0011010010000001|  0  |                0|   0   |               2|               9|       0 |
|15  |              -1|          0001001001100000|  0  |                0|   0   |          -32736|              10|       0 |
|15+ |              -1|          0001001001100000|  0  |                0|   0   |          -32736|              10|       0 |
|16  |               0|          1001101010000001|  0  |                0|   0   |              13|              11|       0 |
|16+ |               0|          1001101010000001|  0  |                0|   0   |              13|              11|       0 |
|17  |               0|          1011100000000001|  0  |                0|   0   |               8|              12|       0 |
|17+ |               0|          1011100000000001|  0  |                0|   0   |               8|              12|       0 |
|18  |               0|          1010001011000111|  0  |               -1|   1   |          -32704|               8|       0 |
|18+ |               0|          1010001011000111|  0  |               -1|   1   |          -32704|               8|       0 |
|19  |               3|          0011010010000001|  0  |                0|   0   |               1|               9|       0 |
|19+ |               3|          0011010010000001|  0  |                0|   0   |               1|               9|       0 |
|20  |              -1|          0001001001100000|  0  |                0|   0   |          -32704|              10|       0 |
|20+ |              -1|          0001001001100000|  0  |                0|   0   |          -32704|              10|       0 |
|21  |               0|          1001101010000001|  0  |                0|   0   |              13|              11|       0 |
|21+ |               0|          1001101010000001|  0  |                0|   0   |              13|              11|       0 |
|22  |              -1|          0001000000000001|  0  |                0|   0   |               2|              13|       0 |
|22+ |              -1|          0001000000000001|  0  |                0|   0   |               2|              13|       0 |
|23  |               0|          1010000101000000|  0  |               13|   1   |               3|              14|       0 |
|23+ |               0|          1010000101000000|  0  |               13|   1   |               3|              14|      13 |
|24  |              13|          0000000000000000|  0  |                0|   0   |               3|              15|      13 |
